Unit,stats_4Ghz_1V.txt,stats_1Ghz_.8V.txt
CUs17.wavefronts28,0,0
CUs17.wavefronts29,0,0
CUs17.wavefronts30,222230,58274
CUs17.wavefronts31,219785,55303
CUs17.wavefronts32,219641,56382
CUs17.wavefronts33,229718,61813
CUs17.wavefronts34,0,0
CUs17.wavefronts35,0,0
CUs17.wavefronts36,0,0
CUs17.wavefronts37,0,0
CUs17.wavefronts38,0,0
CUs17.wavefronts39,0,0
CUs18.wavefronts0,218788,57591
CUs18.wavefronts1,219722,54825
CUs18.wavefronts2,215617,54086
CUs18.wavefronts3,215757,55495
CUs18.wavefronts4,0,0
CUs18.wavefronts5,0,0
CUs18.wavefronts6,0,0
CUs18.wavefronts7,0,0
CUs18.wavefronts8,0,0
CUs18.wavefronts9,0,0
CUs18.wavefronts10,231714,63829
CUs18.wavefronts11,226084,59914
CUs18.wavefronts12,222306,59139
CUs18.wavefronts13,222186,61473
CUs18.wavefronts14,0,0
CUs18.wavefronts15,0,0
CUs18.wavefronts16,0,0
CUs18.wavefronts17,0,0
CUs18.wavefronts18,0,0
CUs18.wavefronts19,0,0
CUs18.wavefronts20,223815,64616
CUs18.wavefronts21,235721,67554
CUs18.wavefronts22,235852,67884
CUs18.wavefronts23,223843,63775
CUs18.wavefronts24,0,0
CUs18.wavefronts25,0,0
CUs18.wavefronts26,0,0
CUs18.wavefronts27,0,0
CUs18.wavefronts28,0,0
CUs18.wavefronts29,0,0
CUs18.wavefronts30,222224,58230
CUs18.wavefronts31,219782,55303
CUs18.wavefronts32,219638,56382
CUs18.wavefronts33,234053,61813
CUs18.wavefronts34,0,0
CUs18.wavefronts35,0,0
CUs18.wavefronts36,0,0
CUs18.wavefronts37,0,0
CUs18.wavefronts38,0,0
CUs18.wavefronts39,0,0
CUs19.wavefronts0,225976,57944
CUs19.wavefronts1,227868,55118
CUs19.wavefronts2,223767,54382
CUs19.wavefronts3,223899,55791
CUs19.wavefronts4,0,0
CUs19.wavefronts5,0,0
CUs19.wavefronts6,0,0
CUs19.wavefronts7,0,0
CUs19.wavefronts8,0,0
CUs19.wavefronts9,0,0
CUs19.wavefronts10,239420,63630
CUs19.wavefronts11,233431,59639
CUs19.wavefronts12,229653,58864
CUs19.wavefronts13,229533,61198
CUs19.wavefronts14,0,0
CUs19.wavefronts15,0,0
CUs19.wavefronts16,0,0
CUs19.wavefronts17,0,0
CUs19.wavefronts18,0,0
CUs19.wavefronts19,0,0
CUs19.wavefronts20,243238,65008
CUs19.wavefronts21,254434,68046
CUs19.wavefronts22,254565,68372
CUs19.wavefronts23,238192,64473
CUs19.wavefronts24,0,0
CUs19.wavefronts25,0,0
CUs19.wavefronts26,0,0
CUs19.wavefronts27,0,0
CUs19.wavefronts28,0,0
