CU,clock,Cycles,IPC,IPC_delta,CPI,CPI_delta,Frequency,Voltage,EDP,ED2P,Sensitivity
12,11222973000000,194506,0.0602552,0.114,16.5961,8.77193,1000000000.0,0.8,5.61404e-09,4.92459e-17,0.73406
12,11222974000000,195506,0.0632922,0.654,15.7997,1.52905,1000000000.0,0.8,9.78593e-10,1.4963200000000001e-18,0.119733
12,11222975000000,196506,0.0635502,0.114,15.7356,8.77193,1000000000.0,0.8,5.61404e-09,4.92459e-17,0.677515
12,11222976000000,197506,0.0640639,0.165,15.6094,6.06061,1000000000.0,0.8,3.87879e-09,2.35078e-17,0.481232
12,11222977000000,198506,0.0662045,0.489,15.1047,2.04499,1000000000.0,0.8,1.30879e-09,2.6764700000000004e-18,0.627302
12,11222978000000,199506,0.0664441,0.114,15.0502,8.77193,1000000000.0,0.8,5.61404e-09,4.92459e-17,0.704017
12,11222979000000,200506,0.0680079,0.38,14.7042,2.63158,1000000000.0,0.8,1.68421e-09,4.4321300000000005e-18,0.158935
12,11222980000000,201506,0.0690302,0.274,14.4864,3.64964,1000000000.0,0.8,2.33577e-09,8.524690000000001e-18,0.902852
12,11222981000000,202506,0.0692523,0.114,14.44,8.77193,1000000000.0,0.8,5.61404e-09,4.92459e-17,0.457889
12,11222982000000,203506,0.0718259,0.593,13.9226,1.68634,1000000000.0,0.8,1.07926e-09,1.82e-18,0.125897
12,11222983000000,204506,0.0719832,0.104,13.8921,9.61538,1000000000.0,0.8,6.15385e-09,5.91716e-17,0.735236
12,11222984000000,205506,0.0720028,0.076,13.8884,13.1579,1000000000.0,0.8,8.42105e-09,1.10803e-16,0.403594
12,11222985000000,206506,0.0747969,0.649,13.3695,1.54083,1000000000.0,0.8,9.86133e-10,1.5194600000000002e-18,0.338264
12,11222986000000,207506,0.0749858,0.114,13.3359,8.77193,1000000000.0,0.8,5.61404e-09,4.92459e-17,0.690286
12,11222987000000,208506,0.0759019,0.266,13.1749,3.7594,1000000000.0,0.8,2.40602e-09,9.045170000000001e-18,0.223852
12,11222988000000,209506,0.0773916,0.388,12.9213,2.57732,1000000000.0,0.8,1.64948e-09,4.2512500000000004e-18,1.13016
12,11222989000000,210506,0.0775655,0.114,12.8923,8.77193,1000000000.0,0.8,5.61404e-09,4.92459e-17,0.581254
12,11222990000000,211506,0.0794635,0.479,12.5844,2.08768,1000000000.0,0.8,1.33612e-09,2.7893900000000002e-18,0.13888
12,11222991000000,212506,0.079913,0.175,12.5136,5.71429,1000000000.0,0.8,3.65714e-09,2.0898e-17,0.801642
12,11222992000000,213506,0.0800727,0.114,12.4887,8.77193,1000000000.0,0.8,5.61404e-09,4.92459e-17,0.422483
12,11222993000000,214506,0.0827436,0.653,12.0855,1.53139,1000000000.0,0.8,9.80092e-10,1.5009100000000002e-18,0.121463
12,11222994000000,215506,0.0828933,0.115,12.0637,8.69565,1000000000.0,0.8,5.56522e-09,4.83932e-17,0.640475
12,11222995000000,216506,0.0831801,0.145,12.0221,6.89655,1000000000.0,0.8,4.41379e-09,3.044e-17,0.355726
12,11222996000000,217506,0.0851379,0.509,11.7457,1.96464,1000000000.0,0.8,1.25737e-09,2.4702700000000003e-18,0.629749
12,11222997000000,218506,0.08527,0.114,11.7275,8.77193,1000000000.0,0.8,5.61404e-09,4.92459e-17,0.66103
